Issue Type,Summary,Description,Epic Link,Sprint,Assignee,Story Points,Labels
Sub-task,HU-02.1 Redactar el protocolo de captura,"Subtarea de HU-02. Redactar el protocolo a partir de la guia de captura de PlayCanvas: 4K a 60 fps, obturacion 1/125 o mas rapida, ISO bajo, todo manual y bloqueado. El protocolo no se modifica: solo se anade el numero y la altura de las pasadas. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S1,Juan Urrego,2,S1;E1;captura;docs;resp-juan-urrego
Sub-task,HU-02.2 Ensayo comparativo 1x frente a 2x,"Subtarea de HU-02. La documentacion recomienda 35-85 mm equivalentes y el 1x del iPhone 13 es aproximadamente 26 mm. Comparar en campo y registrar el resultado en la issue. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S1,Juan Urrego,2,S1;E1;captura;resp-juan-urrego
Sub-task,HU-02.3 Verificar procesamiento de extremo a extremo,"Subtarea de HU-02. Verificar que el material del ensayo se puede procesar desde la extraccion de cuadros hasta el SOG. RESPONSABLE: Alejandra Chambueta.",E1 Captura y reconstruccion del tramo,S1,Alejandra Chambueta,2,S1;E1;captura;resp-alejandra-chambueta
Sub-task,HU-02.4 Definir procedimiento de GPS y audio,"Subtarea de HU-02. Definir como se graba el track GPS y el audio ambiente y de cantos. Las fuentes que se van a espacializar se graban en MONO: una grabacion estereo pasada por HRTF suena mal. RESPONSABLE: David Beltran.",E1 Captura y reconstruccion del tramo,S1,David Beltran,2,S1;E1;captura;audio;resp-david-beltran
Story,HU-03 Preparar la logistica de las cuatro visitas,"Como equipo de campo necesitamos las cuatro visitas reservadas y organizadas para que ninguna ventana de buen clima se desperdicie. RESPONSABLE: Juan Urrego. Criterios de aceptacion: (1) las CUATRO visitas reservadas por la app del Acueducto, con V1 para las seis personas del equipo; (2) checklist de equipo cerrado por visita; (3) roles de campo asignados persona por persona; (4) protocolo de respaldo con dos copias del material el mismo dia.",E1 Captura y reconstruccion del tramo,S1,Juan Urrego,3,S1;E1;captura;resp-juan-urrego
Sub-task,HU-03.1 Reservar las cuatro visitas,"Subtarea de HU-03. Reservar por la app del Acueducto. V1 requiere reserva para las seis personas. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S1,Juan Urrego,1,S1;E1;captura;resp-juan-urrego
Sub-task,HU-03.2 Checklist de equipo y roles de campo,"Subtarea de HU-03. Celular, bateria externa, GPS, grabadora, objeto de escala y almacenamiento. Asignar el encargo de cada persona en V1. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S1,Juan Urrego,1,S1;E1;captura;resp-juan-urrego
Sub-task,HU-03.3 Preparar y probar dispositivos de GPS y audio,"Subtarea de HU-03. Verificar bateria, formato de salida y precision antes de la primera salida. RESPONSABLE: David Beltran.",E1 Captura y reconstruccion del tramo,S1,David Beltran,1,S1;E1;captura;resp-david-beltran
Sub-task,HU-03.4 Preparar el registro fotografico por POI,"Subtarea de HU-03. Plantilla de metadatos y procedimiento para la foto y la coordenada de cada punto de interes. RESPONSABLE: Alberto Aleman.",E1 Captura y reconstruccion del tramo,S1,Alberto Aleman,1,S1;E1;captura;resp-alberto-aleman
Story,HU-42 Ejecutar la visita de reconocimiento V1 sin grabar,"Como equipo necesitamos ir al sendero ANTES de capturar para decidir con el sitio delante y no en una reunion. Va TODO EL EQUIPO. Semana 2 (18 al 24 de agosto). Cinco horas. NO SE GRABA VIDEO DE CAPTURA. RESPONSABLE: Juan Urrego. Criterios de aceptacion: (1) tramo exacto marcado con GPS: inicio y metro 200; (2) cortes de las tres etapas decididos en puntos naturales del sendero; (3) puntos de interes decididos con coordenada y foto, incluidos los patrimoniales; (4) identificado donde circulan las aves, que es donde va cada marcador de fauna; (5) desnivel y pendiente reales de los 200 m medidos con GPS; (6) mapa sonoro levantado; (7) paleta contrastada contra el verde real del follaje; (8) objeto de escala decidido; (9) duracion real del recorrido a paso de captura.",E1 Captura y reconstruccion del tramo,S1,Juan Urrego,8,S1;E1;captura;campo;blocked;resp-juan-urrego
Sub-task,HU-42.1 Marcar el tramo las etapas y medir el desnivel,"Subtarea de HU-42. Marcar con GPS el inicio, el metro 200 y los cortes de escena. Medir desnivel y pendiente reales del tramo comprometido. Decidir el objeto de escala. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S1,Juan Urrego,3,S1;E1;captura;campo;resp-juan-urrego
Sub-task,HU-42.2 Identificar especies y sus lugares de paso,"Subtarea de HU-42. Contrastar contra docs/05-catalogo-fauna-y-flora.md que especies se ven u oyen realmente en los 200 m y donde circulan. Confirmar o descartar el zorro perro y el curi. Identificar el helecho arboreo concreto. Fotos de referencia para modelado. RESPONSABLE: Felipe Acevedo.",E1 Captura y reconstruccion del tramo,S1,Felipe Acevedo,3,S1;E1;campo;3d-asset;resp-felipe-acevedo
Sub-task,HU-42.3 Evaluar riesgo de reconstruccion por zona,"Subtarea de HU-42. Registrar donde hay elementos duros, donde solo hay follaje y donde el agua del cauce va a dar problemas. Es la entrada para decidir la densidad de pasadas de V2. RESPONSABLE: Alejandra Chambueta.",E1 Captura y reconstruccion del tramo,S1,Alejandra Chambueta,2,S1;E1;campo;captura;resp-alejandra-chambueta
Sub-task,HU-42.4 Levantar el mapa sonoro y probar el GPS,"Subtarea de HU-42. Anotar con coordenada donde suena la quebrada, donde hay silencio, donde canta que, donde se cuela la Circunvalar y a que altura respecto al oido va el cauce. Verificar la precision del track. RESPONSABLE: David Beltran.",E1 Captura y reconstruccion del tramo,S1,David Beltran,2,S1;E1;campo;audio;resp-david-beltran
Sub-task,HU-42.5 Contrastar la paleta contra el lugar,"Subtarea de HU-42. Resolver la pregunta D1: el verde propuesto se pierde contra el follaje real. Y la D4: el marcador se lee a contraluz con el cielo detras. RESPONSABLE: Eybar Viasus.",E1 Captura y reconstruccion del tramo,S1,Eybar Viasus,2,S1;E1;campo;ui-ux;resp-eybar-viasus
Sub-task,HU-42.6 Identificar los puntos de interes patrimoniales,"Subtarea de HU-42. Puertas derrumbadas, muros, monumentos y tramos de camino con historia. Foto y coordenada de cada uno. NO se les inventa la historia: se anota que hay y se busca fuente despues. Bitacora de la visita. RESPONSABLE: Alberto Aleman.",E1 Captura y reconstruccion del tramo,S1,Alberto Aleman,2,S1;E1;campo;docs;resp-alberto-aleman
Story,HU-04 Ejecutar la captura principal V2,"Como equipo de captura necesitamos el material del tramo para que exista el proyecto. Semana 3 (25 al 31 de agosto). Cinco horas. Requiere dia nublado sin viento y a primera hora. RESPONSABLE: Juan Urrego. Criterios de aceptacion: (1) video 4K a 60 fps con varias pasadas y ajustes manuales bloqueados; (2) pasadas densas dentro de la banda de alta densidad del ADR-002 y una pasada de contexto fuera de ella; (3) track GPS grabado el mismo dia; (4) audio ambiente y cantos registrados; (5) una foto por cada POI decidido en V1; (6) objeto de escala presente en las tomas; (7) material respaldado en DOS ubicaciones distintas antes de terminar el dia; (8) anotadas hora, nubosidad y viento reales.",E1 Captura y reconstruccion del tramo,S2,Juan Urrego,13,S2;E1;captura;campo;resp-juan-urrego
Sub-task,HU-04.1 Capturar video de las tres escenas,"Subtarea de HU-04. Varias pasadas a distintas alturas (rodilla, pecho y por encima de la cabeza) dentro de la banda de alta densidad, caminando despacio, con exposicion foco y balance de blancos bloqueados. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S2,Juan Urrego,5,S2;E1;captura;resp-juan-urrego
Sub-task,HU-04.2 Grabar track GPS y audio,"Subtarea de HU-04. Track del recorrido, audio ambiente y cantos de aves. RESPONSABLE: David Beltran.",E1 Captura y reconstruccion del tramo,S2,David Beltran,3,S2;E1;captura;audio;resp-david-beltran
Sub-task,HU-04.3 Fotografiar referencias de POIs y modelado,"Subtarea de HU-04. Fotos de referencia de aves, plantas y elementos a modelar, incluidos los patrimoniales. RESPONSABLE: Felipe Acevedo.",E1 Captura y reconstruccion del tramo,S2,Felipe Acevedo,2,S2;E1;3d-asset;resp-felipe-acevedo
Sub-task,HU-04.4 Verificar en sitio que el material es utilizable,"Subtarea de HU-04. Revisar nitidez y cobertura antes de bajar del sendero. Y respaldar en dos ubicaciones el mismo dia. RESPONSABLE: Alejandra Chambueta.",E1 Captura y reconstruccion del tramo,S2,Alejandra Chambueta,3,S2;E1;captura;resp-alejandra-chambueta
Story,HU-43 Ejecutar la visita complementaria V3 y grabar el sonido,"Como equipo de contenido necesitamos el material que V2 no puede dar: audio binaural, cantos a primera hora y detalle patrimonial. Semana 4 (1 al 7 de septiembre). Cinco horas. DOBLE FUNCION: si V2 fallo, esta es la ventana de contingencia y se repite la captura completa. RESPONSABLE: David Beltran. Criterios de aceptacion: (1) lecho ambiente grabado en estereo con bucle limpio de 2 a 3 minutos; (2) cauce y cantos grabados en MONO para poder espacializarlos; (3) 30 segundos de silencio de referencia; (4) fotografiados los POIs patrimoniales; (5) decidido y registrado si se uso como contingencia.",E1 Captura y reconstruccion del tramo,S2,David Beltran,5,S2;E1;campo;audio;resp-david-beltran
Sub-task,HU-43.1 Grabar el lecho ambiente y las fuentes puntuales,"Subtarea de HU-43. Estereo para el lecho, mono para todo lo que se va a espacializar. Posiciones tomadas del mapa sonoro de V1. RESPONSABLE: David Beltran.",E1 Captura y reconstruccion del tramo,S2,David Beltran,3,S2;E1;audio;resp-david-beltran
Sub-task,HU-43.2 Grabar cantos y tomar referencias de detalle,"Subtarea de HU-43. Cantos a primera hora. Fotos de detalle para modelado y escaneo. RESPONSABLE: Felipe Acevedo.",E1 Captura y reconstruccion del tramo,S2,Felipe Acevedo,2,S2;E1;audio;3d-asset;resp-felipe-acevedo
Sub-task,HU-43.3 Registro fotografico del patrimonio y bitacora,"Subtarea de HU-43. Fotografiar los elementos patrimoniales identificados en V1 con coordenada y escala. Bitacora de condiciones. RESPONSABLE: Alberto Aleman.",E1 Captura y reconstruccion del tramo,S2,Alberto Aleman,2,S2;E1;campo;docs;resp-alberto-aleman
Story,HU-05 Dejar el repositorio y los contratos de datos listos,"Como PM necesito que los espacios esten preparados antes de que los demas lleguen para que nadie se pise ni invente formatos. RESPONSABLE: Juan Urrego. Criterios de aceptacion: (1) repositorio con ramas main, develop y una por epica; (2) pois.json, scenes.json, track.json y soundscape.json especificados con ejemplo valido; (3) formato del track GPS definido; (4) context-for-vibe-coding.md publicado; (5) estructura de carpetas con src/app, src/audio y styles, y .gitignore en su sitio; (6) ambitos de los tres programadores documentados. Implementa RNF-009 y RNF-011.",E1 Captura y reconstruccion del tramo,S1,Juan Urrego,5,S1;E1;docs;resp-juan-urrego
Sub-task,HU-05.1 Crear repositorio ramas labels y milestones,"Subtarea de HU-05. Crear el repositorio, las ramas por epica, los labels (incluidos los resp- de cada persona), los milestones con fecha real y las issues. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S1,Juan Urrego,2,S1;E1;docs;resp-juan-urrego
Sub-task,HU-05.2 Especificar y publicar los contratos de datos,"Subtarea de HU-05. scenes.json, pois.json, track.json y soundscape.json con ejemplo valido y validacion de esquema. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S1,Juan Urrego,2,S1;E1;docs;resp-juan-urrego
Sub-task,HU-05.3 Validar el contrato de pois.json contra la ficha,"Subtarea de HU-05. Verificar que los campos cubren todo lo que la ficha necesita mostrar, incluidos idleAnimation, sightingTips, historicalNote, period y sourceUrl. RESPONSABLE: Eybar Viasus.",E1 Captura y reconstruccion del tramo,S1,Eybar Viasus,1,S1;E1;ui-ux;resp-eybar-viasus
Sub-task,HU-05.4 Validar el formato del track GPS y del soundscape,"Subtarea de HU-05. Verificar que los formatos cubren lo que la capa de datos y el motor de audio necesitan calcular. RESPONSABLE: David Beltran.",E1 Captura y reconstruccion del tramo,S1,David Beltran,1,S1;E1;docs;resp-david-beltran
Story,HU-06 Extraer cuadros y resolver poses de camara,"Como equipo de captura necesitamos cuadros utilizables y poses de camara para poder entrenar. RESPONSABLE: Juan Urrego. Criterios de aceptacion: (1) cuadros extraidos con el intervalo decidido, resuelve V2; (2) cuadros con movimiento borroso descartados antes de procesar; (3) poses resueltas por SfM para las tres escenas; (4) documentado el intervalo elegido y el numero de cuadros por escena.",E1 Captura y reconstruccion del tramo,S2,Juan Urrego,8,S2;E1;captura;resp-juan-urrego
Sub-task,HU-06.1 Extraer cuadros y descartar borrosos,"Subtarea de HU-06. La documentacion sugiere tomar cada 2 a 5 cuadros segun la velocidad de desplazamiento. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S2,Juan Urrego,3,S2;E1;captura;resp-juan-urrego
Sub-task,HU-06.2 Ejecutar SfM y verificar la nube dispersa,"Subtarea de HU-06. Resolver poses de camara y verificar cobertura. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S2,Juan Urrego,3,S2;E1;captura;resp-juan-urrego
Sub-task,HU-06.3 Revision cruzada de cobertura de vistas,"Subtarea de HU-06. Verificar que cada escena tiene suficiente solapamiento entre vistas, con atencion especial a la banda de alta densidad. RESPONSABLE: Alejandra Chambueta.",E1 Captura y reconstruccion del tramo,S2,Alejandra Chambueta,2,S2;E1;captura;resp-alejandra-chambueta
Story,HU-07 Entrenar el 3DGS de las tres escenas,"Como equipo de captura necesitamos las tres escenas reconstruidas. Implementa RF-002. RESPONSABLE: Juan Urrego. Criterios de aceptacion: (1) las tres escenas entrenadas y exportadas a .ply; (2) documentado el tiempo de entrenamiento por escena, resuelve V5; (3) documentado el numero de gaussianas por escena, resuelve V3; (4) evaluacion visual: los escalones, barandas y cauce se reconocen.",E1 Captura y reconstruccion del tramo,S2,Juan Urrego,13,S2;E1;captura;resp-juan-urrego
Sub-task,HU-07.1 Entrenar las tres escenas en la estacion con GPU,"Subtarea de HU-07. Entrenamiento 3DGS de scene-01 (0-70 m), scene-02 (70-140 m) y scene-03 (140-200 m). RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S2,Juan Urrego,8,S2;E1;captura;resp-juan-urrego
Sub-task,HU-07.2 Registrar parametros tiempos y conteo de gaussianas,"Subtarea de HU-07. Documentar para poder repetir y para dimensionar el presupuesto de splats. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S2,Juan Urrego,2,S2;E1;docs;resp-juan-urrego
Sub-task,HU-07.3 Evaluacion visual de calidad,"Subtarea de HU-07. Contrastar la reconstruccion contra las fotos de referencia de campo. RESPONSABLE: Felipe Acevedo.",E1 Captura y reconstruccion del tramo,S2,Felipe Acevedo,3,S2;E1;3d-asset;resp-felipe-acevedo
Story,HU-08 Limpiar las escenas en SuperSplat,"Como equipo de captura necesitamos escenas limpias porque el follaje denso genera ruido y flotantes. Implementa RF-002 y RNF-003. RESPONSABLE: Felipe Acevedo (movido desde Juan Urrego para descargar el camino critico). Criterios de aceptacion: (1) flotantes eliminados en las tres escenas; (2) escenas recortadas al tramo de interes; (3) color coherente entre las tres escenas, resuelve V12; (4) proyecto .ssproj guardado por escena.",E1 Captura y reconstruccion del tramo,S2,Felipe Acevedo,8,S2;E1;captura;resp-felipe-acevedo
Sub-task,HU-08.1 Eliminar flotantes y recortar,"Subtarea de HU-08. Limpieza en SuperSplat de gaussianas con opacidad en el vacio y recorte al tramo. RESPONSABLE: Felipe Acevedo.",E1 Captura y reconstruccion del tramo,S2,Felipe Acevedo,4,S2;E1;captura;resp-felipe-acevedo
Sub-task,HU-08.2 Ajustar color y coherencia entre escenas,"Subtarea de HU-08. Que el encadenado de las tres escenas no muestre salto de color. RESPONSABLE: Felipe Acevedo.",E1 Captura y reconstruccion del tramo,S2,Felipe Acevedo,3,S2;E1;3d-asset;resp-felipe-acevedo
Sub-task,HU-08.3 Verificar que los POIs quedaron dentro del recorte,"Subtarea de HU-08. Revisar que los 5 o 6 POIs decididos en V1 siguen dentro de la escena recortada. RESPONSABLE: Alberto Aleman.",E1 Captura y reconstruccion del tramo,S2,Alberto Aleman,1,S2;E1;captura;resp-alberto-aleman
Story,HU-09 Comprimir a SOG y validar peso y calidad,"Como equipo de captura necesitamos escenas en formato de entrega. Implementa RNF-003 y RNF-002. RESPONSABLE: Juan Urrego. Criterios de aceptacion: (1) las tres escenas convertidas a .sog con SplatTransform; (2) RNF-003 queda FIJADO con un numero real medido, resuelve V4; (3) comparacion documentada de peso PLY frente a SOG por escena; (4) perdida de calidad por compresion evaluada y aceptada.",E1 Captura y reconstruccion del tramo,S2,Juan Urrego,5,S2;E1;captura;resp-juan-urrego
Sub-task,HU-09.1 Convertir a SOG y medir pesos,"Subtarea de HU-09. splat-transform entrada.ply salida.sog. La referencia publicada es 15 a 20 veces menos peso que el PLY. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S2,Juan Urrego,2,S2;E1;captura;resp-juan-urrego
Sub-task,HU-09.2 Actualizar RNF-003 con el dato real,"Subtarea de HU-09. Sustituir el marcador por definir por el umbral medido en el documento de requerimientos. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S2,Juan Urrego,1,S2;E1;docs;resp-juan-urrego
Sub-task,HU-09.3 Cargar un .sog en un proyecto PlayCanvas minimo,"Subtarea de HU-09. Confirmar que el asset gsplat abre y renderiza antes de dar la escena por cerrada. RESPONSABLE: Alejandra Chambueta.",E1 Captura y reconstruccion del tramo,S2,Alejandra Chambueta,2,S2;E1;resp-alejandra-chambueta
Story,HU-10 Publicar las escenas en scenes.json,"Como equipo de captura necesitamos declarar las escenas para que el motor las consuma sin tocar codigo. Implementa RF-023, RF-017 y RNF-011. RESPONSABLE: Juan Urrego. Criterios de aceptacion: (1) las tres escenas declaradas con orden, ruta al .sog y puntos de entrada y salida segun las etapas de 0-70, 70-140 y 140-200 m; (2) track GPS asociado a la secuencia; (3) primera aproximacion de alineacion y escala contra el objeto de referencia, arranca V9; (4) cada escena versionada con fecha de captura.",E1 Captura y reconstruccion del tramo,S2,Juan Urrego,5,S2;E1;docs;resp-juan-urrego
Sub-task,HU-10.1 Publicar scenes.json y las rutas de assets,"Subtarea de HU-10. Declarar id, order, sogUrl, entryDistanceMeters, exitDistanceMeters y captureDate. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S2,Juan Urrego,2,S2;E1;docs;resp-juan-urrego
Sub-task,HU-10.2 Primera alineacion del track GPS con la geometria,"Subtarea de HU-10. El entrenamiento produce unidades arbitrarias: hay que escalar contra el objeto de tamano conocido. RESPONSABLE: David Beltran.",E1 Captura y reconstruccion del tramo,S2,David Beltran,3,S2;E1;resp-david-beltran
Sub-task,HU-10.3 Validar que el motor lee scenes.json sin ambiguedades,"Subtarea de HU-10. Revision cruzada del contrato antes de que arranque E2. RESPONSABLE: Alejandra Chambueta.",E1 Captura y reconstruccion del tramo,S2,Alejandra Chambueta,1,S2;E1;docs;resp-alejandra-chambueta
Story,HU-44 Verificar la reconstruccion en campo V4,"Como equipo necesitamos comprobar en el sitio que el lugar se reconoce, que es la promesa central del producto. Semana 6 (15 al 21 de septiembre). Cinco horas. Se va CON LA RECONSTRUCCION CARGADA EN UN CELULAR. RESPONSABLE: Juan Urrego. Criterios de aceptacion: (1) el lugar se reconoce al comparar pantalla y sitio, registrado con evidencia; (2) los anclajes de los POIs caen donde deben; (3) escala y altitud del track corresponden con la realidad, cierra V9; (4) listadas las zonas mal reconstruidas y decidido si se recapturan ahi mismo.",E1 Captura y reconstruccion del tramo,S3,Juan Urrego,5,S3;E1;campo;captura;resp-juan-urrego
Sub-task,HU-44.1 Comparar la reconstruccion contra el sitio,"Subtarea de HU-44. Recorrer los 200 m con el celular en la mano comparando punto por punto. Registrar con foto pareada. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S3,Juan Urrego,2,S3;E1;campo;resp-juan-urrego
Sub-task,HU-44.2 Verificar escala altitud y anclajes,"Subtarea de HU-44. Contrastar las cifras del HUD contra el GPS en el sitio. Cierra la validacion V9. RESPONSABLE: Alejandra Chambueta.",E1 Captura y reconstruccion del tramo,S3,Alejandra Chambueta,2,S3;E1;campo;resp-alejandra-chambueta
Sub-task,HU-44.3 Recapturar las zonas deficientes,"Subtarea de HU-44. Repetir pasadas en las zonas que salieron mal, aprovechando que ya se esta en el sitio. RESPONSABLE: Felipe Acevedo.",E1 Captura y reconstruccion del tramo,S3,Felipe Acevedo,2,S3;E1;campo;captura;resp-felipe-acevedo
Story,HU-11 Modelar y texturizar las aves,"Como artista 3D necesito el catalogo de aves para las fichas. Habilita RF-009. EN PARALELO con S2: no depende de la captura. RESPONSABLE: Felipe Acevedo. Criterios de aceptacion: (1) modeladas colibri chillon Colibri coruscans, mirla, copeton y pava andina; (2) realista pero simplificado, con color y forma reconocibles en campo; (3) nombre comun y cientifico verificados contra fuente citable segun docs/05-catalogo-fauna-y-flora.md; (4) rig preparado para la animacion idle de HU-47. ATENCION: mirla, copeton y pava estan marcados por verificar en el catalogo; el modelo puede avanzar pero la ficha no se publica hasta resolverlo.",E3 Puntos de interes fichas 3D y sonido,S2b,Felipe Acevedo,13,S2b;E3;3d-asset;resp-felipe-acevedo
Sub-task,HU-11.1 Modelar texturizar y riggear las cuatro especies,"Subtarea de HU-11. Colibri chillon, mirla, copeton y pava andina. El rig debe soportar el aleteo de la animacion idle. RESPONSABLE: Felipe Acevedo.",E3 Puntos de interes fichas 3D y sonido,S2b,Felipe Acevedo,8,S2b;E3;3d-asset;resp-felipe-acevedo
Sub-task,HU-11.2 Verificar nombres cientificos y rangos de altitud,"Subtarea de HU-11. Verificar contra eBird, Avibase o la lista de referencia de aves de Colombia. Resolver la discrepancia Penelope obscura frente a Penelope montagnii. Lo no verificado se marca por verificar, nunca se rellena. RESPONSABLE: Felipe Acevedo.",E3 Puntos de interes fichas 3D y sonido,S2b,Felipe Acevedo,3,S2b;E3;docs;resp-felipe-acevedo
Sub-task,HU-11.3 Validar legibilidad al tamano del visor de ficha,"Subtarea de HU-11. Comprobar que el modelo se lee bien en el tamano real del visor. RESPONSABLE: Eybar Viasus.",E3 Puntos de interes fichas 3D y sonido,S2b,Eybar Viasus,2,S2b;E3;ui-ux;resp-eybar-viasus
Story,HU-47 Animacion idle de aleteo en las aves,"Como visitante quiero que el ave de la ficha se vea viva y no como una figura quieta. Implementa RF-029. RESPONSABLE: Felipe Acevedo. Criterios de aceptacion: (1) cada una de las cuatro aves tiene un clip de animacion idle de aleteo; (2) el bucle no muestra salto ni tiron al reiniciarse; (3) la animacion arranca sola al abrir la ficha, sin que el visitante tenga que hacer nada; (4) el clip va exportado dentro del .glb y declarado en pois.json con el campo idleAnimation; (5) el coste de la animacion no rompe el presupuesto de RNF-012 ni el objetivo de 30 fps.",E3 Puntos de interes fichas 3D y sonido,S2b,Felipe Acevedo,8,S2b;E3;3d-asset;resp-felipe-acevedo
Sub-task,HU-47.1 Animar el aleteo de las cuatro especies,"Subtarea de HU-47. Clip corto en bucle, aleteo creible por especie: el colibri no aletea como una pava. RESPONSABLE: Felipe Acevedo.",E3 Puntos de interes fichas 3D y sonido,S2b,Felipe Acevedo,5,S2b;E3;3d-asset;resp-felipe-acevedo
Sub-task,HU-47.2 Exportar y verificar el clip dentro del glb,"Subtarea de HU-47. Comprobar que PlayCanvas reproduce el clip desde el .glb sin configuracion adicional. RESPONSABLE: David Beltran.",E3 Puntos de interes fichas 3D y sonido,S2b,David Beltran,2,S2b;E3;resp-david-beltran
Sub-task,HU-47.3 Revisar el ritmo del aleteo,"Subtarea de HU-47. Que sea sutil: la animacion acompana la identificacion, no distrae de ella. RESPONSABLE: Eybar Viasus.",E3 Puntos de interes fichas 3D y sonido,S2b,Eybar Viasus,2,S2b;E3;ui-ux;resp-eybar-viasus
